Cus_id,Cus_Name,PRD_Team,Cus_address,Contact,District,Region
C-101,Asif Medical Store,Pharma,Malir,0333-2366934,Malir,Karachi
C-102,Bilal Medical Store,Pharma,Nazimabad,0300-2365935,Central,Karachi
C-103,Danish Medical Store,Pharma,Saddar,0320-2366536,Sialkot,Lahore
C-104,Ali Traders,FMCG,Star chowk,0300-2366456,Lahore,Lahore
C-105,Hanif General Sotre,FMCG,Main bazar,0300-2346938,Faisalabad,Faisalabad
C-106,Kamran Medical Store,Pharma,Star market,0300-2376939,Multan,Multan
C-107,Zia Medical Store,Pharma,Madina Chowk,045-2368940,Queta,Queta
C-108,Saba Pharmacy,Pharma,Fayaz Market,0300-2366541,Peshawar,Peshawar
C-109,Bismila Traders,FMCG,Bilal Colony,0300-3366942,Bahawalpur,Bahawalpur
C-110,Aziz Medical Store,Pharma,Chaman Colony,0333-8366943,Sukur,Sukur
C-111,Javed Medical Store,Pharma,Baraf Depot,0300-9366944,Hyderabad,Karachi
C-112,Ghani Bakery,FMCG,Urdu Bazar,0300-1366945,Larkana,Sukur
C-113,Farhan Pan Shop,FMCG,Sundas Park,0315-0366946,Rawalpindi,Islamabad
C-114,Salemmi Medical Store,Pharma,Jinah Town,0300-2966947,Islamabad,Islamabad
C-115,Nasir Karyana store,FMCG,ABC Mill,0300-2166948,Mardan,Peshawar
C-116,Usman Medical Store,Pharma,Jhanda Chowk,0316-2306949,Kasur,Lahore
C-117,Latif Traders,FMCG,Bus stand,0300-2366050,Gujranwala,Lahore
